student_id,actual,predicted,error,abs_error,actual_grade,predicted_grade,grade_match
S0001,7.29,7.27,0.02,0.02,B,B,True
S0002,8.75,8.41,0.34,0.34,A,B,False
S0003,8.96,8.51,0.45,0.45,A,A,True
S0004,7.28,7.17,0.11,0.11,B,B,True
S0005,7.67,7.83,-0.16,0.16,B,B,True
S0006,7.71,7.96,-0.25,0.25,B,B,True
S0007,6.21,6.98,-0.77,0.77,C,C,True
S0008,5.0,5.55,-0.55,0.55,D,C,False
S0009,8.06,8.03,0.03,0.03,B,B,True
S0010,5.64,6.24,-0.6,0.6,C,C,True
S0011,8.67,8.04,0.63,0.63,A,B,False
S0012,9.08,8.65,0.43,0.43,A,A,True
S0013,8.23,8.22,0.01,0.01,B,B,True
S0014,7.34,7.38,-0.04,0.04,B,B,True
S0015,6.91,6.91,0.0,0.0,C,C,True
S0016,6.88,6.74,0.14,0.14,C,C,True
S0017,7.46,6.69,0.77,0.77,B,C,False
S0018,7.79,8.08,-0.29,0.29,B,B,True
S0019,7.39,7.79,-0.4,0.4,B,B,True
S0020,7.35,7.51,-0.16,0.16,B,B,True
S0021,7.51,7.43,0.08,0.08,B,B,True
S0022,7.93,7.96,-0.03,0.03,B,B,True
S0023,8.04,8.07,-0.03,0.03,B,B,True
S0024,6.22,6.44,-0.22,0.22,C,C,True
S0025,8.0,6.85,1.15,1.15,B,C,False
S0026,7.46,7.94,-0.48,0.48,B,B,True
S0027,6.48,6.56,-0.08,0.08,C,C,True
S0028,7.23,7.39,-0.16,0.16,B,B,True
S0029,8.83,8.56,0.27,0.27,A,A,True
S0030,6.92,6.48,0.44,0.44,C,C,True
S0031,6.32,6.73,-0.41,0.41,C,C,True
S0032,6.47,6.79,-0.32,0.32,C,C,True
S0033,7.06,7.08,-0.02,0.02,B,B,True
S0034,7.58,7.8,-0.22,0.22,B,B,True
S0035,8.28,8.04,0.24,0.24,B,B,True
S0036,6.7,7.12,-0.42,0.42,C,B,False
S0037,6.19,6.51,-0.32,0.32,C,C,True
S0038,7.77,7.83,-0.06,0.06,B,B,True
S0039,6.91,7.35,-0.44,0.44,C,B,False
S0040,8.1,7.63,0.47,0.47,B,B,True
S0041,6.99,6.9,0.09,0.09,C,C,True
S0042,7.04,6.72,0.32,0.32,B,C,False
S0043,6.26,6.48,-0.22,0.22,C,C,True
S0044,9.2,8.72,0.48,0.48,A,A,True
S0045,6.83,6.92,-0.09,0.09,C,C,True
S0046,6.96,6.89,0.07,0.07,C,C,True
S0047,6.85,8.08,-1.23,1.23,C,B,False
S0048,7.24,7.59,-0.35,0.35,B,B,True
